Question,Execution Time,Answer
"컴퓨터시스템공학과의 2023년도 정시, 일반 전형 입시 정보에 대해서 알려주세요.",7.3,"2023년도 컴퓨터시스템공학과의 정시, 일반 전형 입시정보는 다음과 같습니다. 모집인원은 9명이며, 예비인원은 49명입니다. 평균 점수는 151점이고, 경쟁률은 18.0입니다. 최저 점수는 143점이며, 모집은 정원내에서 이루어집니다."
"컴퓨터시스템공학과의 2023년 정시, 일반 전형에 대한 입시 정보를 알려주실 수 있나요?",6.1,"2023년 정시에는 컴퓨터시스템공학과의 일반 전형에 대한 입시정보가 있습니다. 해당 전형은 모집인원이 9명이며, 예비인원은 49명입니다. 평균 점수는 151점이고, 경쟁률은 18.0입니다. 최저 합격 점수는 143점이며, 모집은 정원내에서 이루어집니다."
"2023년도에 컴퓨터시스템공학과로 정시, 일반 전형의 입시 정보에 대해서 궁금합니다.",8.7,"2023년도에 컴퓨터시스템공학과로 정시, 일반 전형의 입시정보에 대해 알려드리겠습니다. 해당 전형의 모집인원은 9명이며, 예비인원은 49명입니다. 평균 점수는 151점이고, 경쟁률은 18.0입니다. 최저 점수는 143점이며, 모집은 정원내로 이루어집니다."
"2023년에 컴퓨터시스템공학과의 정시, 일반 전형 입시 정보는 어떻게 되나요?",6.5,"2023년에 컴퓨터시스템공학과의 정시, 일반 전형 입시정보는 다음과 같습니다. 정시 모집인원은 9명이며, 예비인원은 49명입니다. 평균 점수는 151점이고, 경쟁률은 18.0입니다. 최저 합격 점수는 143점이며, 모집은 정원내에서 이루어집니다."
"컴퓨터시스템공학과에서 2023년 정시, 일반 전형 입시 정보를 알고 싶습니다.",4.9,"컴퓨터시스템공학과에서 2023년 정시, 일반 전형 입시정보에 대한 정보를 제공할 수 없습니다. 죄송합니다."
"컴퓨터시스템공학과의 2023년 정시, 일반 전형에 관한 입시 정보를 알고 싶습니다.",5.5,"2023년 정시에는 컴퓨터시스템공학과의 일반 전형으로 모집인원이 9명이며, 예비인원은 49명입니다. 평균 점수는 151점이고, 경쟁률은 18.0입니다. 최저 점수는 143점이며, 모집은 정원내에서 이루어집니다."
"2023년에 컴퓨터시스템공학과로 정시, 일반 전형에 대한 입시 정보를 알려줘.",10.9,"2023년에 컴퓨터시스템공학과로 정시, 일반 전형에 대한 입시정보는 다음과 같습니다. 학과명은 컴퓨터시스템공학과이며, 모집인원은 9명이고, 전형은 일반 전형입니다. 예비인원은 49명이며, 평균 점수는 151점입니다. 경쟁률은 18.0이고, 최저 점수는 143점입니다. 모집은 정원내에서 이루어집니다."
"컴퓨터시스템공학과의 2023년 정시, 일반 전형에 대한 정보를 제공해주실 수 있나요?",10,"컴퓨터시스템공학과의 2023년 정시, 일반 전형에 대한 정보는 현재 제공되지 않습니다. 추가 정보를 얻기 위해서는 해당 대학의 공식 웹사이트나 학사 관련 부서에 문의하시는 것이 좋습니다."
"2023년에 컴퓨터시스템공학과로 정시, 일반 전형으로 입학하기 위한 정보를 알려주세요.",15.2,"2023년에 컴퓨터시스템공학과로 정시, 일반 전형으로 입학하기 위한 정보는 다음과 같습니다:
- 정시 모집인원: 9명
- 정시 평균 점수: 151점
- 정시 예비인원: 49명
- 정시 경쟁률: 18.0배
- 정시 최저 점수: 143점

위의 정보는 2023년에 컴퓨터시스템공학과로 정시, 일반 전형으로 입학하기 위한 정보입니다."
"컴퓨터시스템공학과의 2023년도 정시, 일반 전형에 대한 입시 정보를 알 수 있을까요?",6.2,"2023년도 컴퓨터시스템공학과의 정시, 일반 전형에 대한 입시정보는 다음과 같습니다. 모집인원은 9명이며, 예비인원은 49명입니다. 평균 점수는 151점이고, 경쟁률은 18.0입니다. 최저 점수는 143점이며, 모집은 정원내에서 이루어집니다."
